Name,Description,URL
Cookiecutter,Create project file structure,https://cookiecutter.readthedocs.io/en/latest/
pip-tools,Manage package dependencies,https://github.com/jazzband/pip-tools
MyPy,Static type checker,https://mypy-lang.org/
Flake8,Linter,https://flake8.pycqa.org/en/latest/
Pytest,Unit Testing,https://docs.pytest.org/en/latest/
coverage.py,Code Coverage Measurement,https://coverage.readthedocs.io/en/latest/
tox,Run tests in various Python environments,https://tox.wiki/en/latest/
Travis CI,Continuous Integration Server,https://www.travis-ci.com/
Sphinx,Documentation,https://github.com/sphinx-doc/sphinx/
pyenv,Virtual Environment,https://github.com/pyenv/pyenv
