Command,Short description
cat / head / tail,text viewer: show all / first rows / last rows
chmod,Show / edit access rights
chown,Show / edit owner
cp,Copy file(s)
file,Get exact file type
find,Search for any file attribut
less / more,text viewer: page-by-page display
ln,Create soft and hard links for files and directories
locate,Index search for file names
ls,List directory content
md5sum,Determine checksum
mimetype,Determine file type
mv,Move / rename files
rdfind,Find / edit / link file duplicates
rm,Remove files and directories
shred / wipe,Save delete file
split,Split file in smaller parts
touch,Create new file
