Command,Short Description
crontab,View and create cronjobs
disown,Remove jobs from current shell
htop,Task info and control
iotop,Hard disk activities info
killall,Kill tasks via their name
lsof,Show open files
pgrep,Get process via application name
pkill,Kill tasks via their name
powertop,Power consumption info & tuning
ps,Task info and control
pstree,Task info in tree view
top,Task info and control
watch,Execute a program periodically showing output fullscreen
which,Get path of queried application
xprop,Get info about UI applications
