Command,Short Description
apt,Package manager for Debian/Ubunutu systems
apt-cache search,Searches package sources for software package names or descriptions
dpkg,Software management and installation (Debian)
dpkg-query,Delivers a sorted inventory about all installed software including a short description and version
dpkg-reconfigure,Reconfigure software components
flatpak / snap,Control Flatpak containers
ldd,Print shared object dependencies
man,An interface to the system reference manuals
pacman,"Package management, installation, updates (Arch)"
snap,Control Snap containers (similar to flatpak / snap)
yum,"Package management, installation, updates (RPM)"
