Command,Short description
bootctl,Detailed boot info
hostnamectl,Show and change computer name
journalctl,Print log entries from the systemd journal
localectl,Show and change system language
loginctl,Show/end logins and sessions
networkctl,"Manage network adapters, IPs and MAC addresses"
resolvectl,"Resolve domain names, IPV4 and IPv6 addresses, DNS resource records and services introspect, and reconfigure the DNS resolver"
systemctl,Control tool for services
timedatectl,Show/change time and time zone
systemd-analyze,Show exact time for system start
systemd-cgtop,CPU and RAM usage of system services
sytemd-mount,Show/create mount points
systemd-path,Show detailed commented system paths
